Pos,Team,Points,year,Year
1,Vanwall,48.0,1958.0,
2,Ferrari,40.0,1958.0,
3,Cooper Climax,31.0,1958.0,
4,Brm,18.0,1958.0,
5,Maserati,6.0,1958.0,
6,Lotus,3.0,1958.0,
1,Cooper Climax,40.0,1959.0,
2,Ferrari,32.0,1959.0,
3,Brm,18.0,1959.0,
4,Lotus,5.0,1959.0,
1,Cooper Climax,48.0,1960.0,
2,Lotus,34.0,1960.0,
3,Ferrari,26.0,1960.0,
4,Brm,8.0,1960.0,
5,Cooper Maserati,3.0,1960.0,
6,Cooper Castellotti,3.0,1960.0,
1,Ferrari,40.0,1961.0,
2,Lotus,32.0,1961.0,
3,Porsche,22.0,1961.0,
4,Cooper Climax,14.0,1961.0,
5,Brm Climax,7.0,1961.0,
1,Brm,42.0,1962.0,
2,Lotus,36.0,1962.0,
3,Cooper Climax,29.0,1962.0,
4,Lola Climax,19.0,1962.0,
5,Porsche,18.0,1962.0,
6,Ferrari,18.0,1962.0,
7,Brabham Climax,6.0,1962.0,
8,Lotus,1.0,1962.0,
1,Lotus,54.0,1963.0,
2,Brm,36.0,1963.0,
3,Brabham Climax,28.0,1963.0,
4,Ferrari,26.0,1963.0,
5,Cooper Climax,25.0,1963.0,
6,Brp Brm,6.0,1963.0,
7,Porsche,5.0,1963.0,
8,Lotus,4.0,1963.0,
1,Ferrari,45.0,1964.0,
2,Brm,42.0,1964.0,
3,Lotus,37.0,1964.0,
4,Brabham Climax,30.0,1964.0,
5,Cooper Climax,16.0,1964.0,
6,Brabham Brm,7.0,1964.0,
7,Brp Brm,5.0,1964.0,
8,Lotus,3.0,1964.0,
1,Lotus,54.0,1965.0,
2,Brm,45.0,1965.0,
3,Brabham Climax,27.0,1965.0,
4,Ferrari,26.0,1965.0,
5,Cooper Climax,14.0,1965.0,
6,Honda,11.0,1965.0,
7,Brabham Brm,5.0,1965.0,
8,Lotus,2.0,1965.0,
1,Brabham Repco,42.0,1966.0,
2,Ferrari,31.0,1966.0,
3,Cooper Maserati,30.0,1966.0,
4,Brm,22.0,1966.0,
5,Lotus,13.0,1966.0,
6,Lotus,8.0,1966.0,
7,Eagle Climax,4.0,1966.0,
8,Honda,3.0,1966.0,
9,McLaren,2.0,1966.0,
10,Brabham Brm,1.0,1966.0,
11,Mclaren Serenissima,1.0,1966.0,
12,Brabham Climax,1.0,1966.0,
1,Brabham Repco,63.0,1967.0,
2,Lotus,44.0,1967.0,
3,Cooper Maserati,28.0,1967.0,
4,Honda,20.0,1967.0,
5,Ferrari,20.0,1967.0,
6,Brm,17.0,1967.0,
7,Eagle Weslake,13.0,1967.0,
8,Cooper Climax,6.0,1967.0,
9,Lotus,6.0,1967.0,
10,McLaren,3.0,1967.0,
11,Brabham Climax,2.0,1967.0,
1,Lotus,62.0,1968.0,
2,McLaren,49.0,1968.0,
3,Matra Ford,45.0,1968.0,
4,Ferrari,32.0,1968.0,
5,Brm,28.0,1968.0,
6,Honda,14.0,1968.0,
7,Cooper Brm,14.0,1968.0,
8,Brabham Repco,10.0,1968.0,
9,Matra,8.0,1968.0,
10,McLaren,3.0,1968.0,
1,Matra Ford,66.0,1969.0,
2,Brabham Ford,49.0,1969.0,
3,Lotus,47.0,1969.0,
4,McLaren,38.0,1969.0,
5,Ferrari,7.0,1969.0,
6,Brm,7.0,1969.0,
1,Lotus,59.0,1970.0,
2,Ferrari,52.0,1970.0,
3,March Ford,48.0,1970.0,
4,Brabham Ford,35.0,1970.0,
5,McLaren,35.0,1970.0,
6,Brm,23.0,1970.0,
7,Matra,23.0,1970.0,
8,Surtees Ford,3.0,1970.0,
1,Tyrrell Ford,73.0,1971.0,
2,Brm,36.0,1971.0,
3,Ferrari,33.0,1971.0,
4,March Ford,33.0,1971.0,
5,Lotus,21.0,1971.0,
6,McLaren,10.0,1971.0,
7,Matra,9.0,1971.0,
8,Surtees Ford,8.0,1971.0,
9,Brabham Ford,5.0,1971.0,
1,Lotus,61.0,1972.0,
